station_id,station_name,region_type,year_count,avg_temp,max_temp,avg_humidity,min_humidity,avg_effective_humidity,min_effective_humidity,total_precipitation,max_consecutive_dry_hours,avg_wind_speed,max_wind_speed,strong_wind_hours,max_vapor_pressure_deficit,max_dew_point_depression,yanggan_wind_risk
105,강릉,영동,5,15.095,37.5,60.716,11.8,60.743,24.374,1384.9,758.6,2.22,11.18,803.8,33.92,31.24,1
106,동해,영동,5,14.206,35.02,65.303,9.8,65.343,22.711,1194.8,737,2.135,11.92,949.4,34.5,32.16,1
104,북강릉,영동,5,13.723,35.24,64.381,10.2,64.421,22.985,1451.74,753.2,1.455,9.58,279.6,33.64,32.48,1
90,속초,영동,5,13.574,35.06,63.531,9,63.572,21.612,1429.56,635.6,2.134,10.88,918.2,34.26,33.28,1
93,북춘천,영서,5,11.915,35.86,71.923,8,71.95,37.608,1268.32,477.2,1.166,8.4,331.4,34.06,34.98,0
121,영월,영서,5,12.305,35.56,69.196,9,69.219,35.688,1208.38,572.4,1.105,7.42,175.8,32.62,39.8,0
114,원주,영서,5,13.347,35.1,64.653,10.4,64.671,33.411,1258,602,1.092,6,66,31.58,31.92,0
211,인제,영서,5,11.603,35.18,70.485,11.6,70.516,36.537,1155.3,500.6,1.418,6.9,346.6,32.02,30.32,0
95,철원,영서,5,11.429,34.66,75.186,11.4,75.214,39.484,1467.86,583.4,1.285,6.96,230.6,35.92,30.5,0
101,춘천,영서,5,12.479,35.7,69.102,9.2,69.122,34.18,1323.84,467.8,1.394,7.5,213.4,33.6,33.74,0
212,홍천,영서,5,12.057,35.88,69.631,10.2,69.658,36.839,1266.98,467.2,0.943,5.66,57.8,31.84,32.32,0
100,대관령,산악/내륙,5,8.342,31.08,74.214,9.6,74.245,31.991,1177.92,521,2.975,14.42,2480.2,29.5,32.4,0
217,정선군,산악/내륙,5,11.5,36.56,65.782,6.4,65.8,26.399,1194.7,481,1.405,8.3,349.8,31.46,42.44,0
216,태백,산악/내륙,5,9.959,32.9,67.189,6.8,67.216,27.779,1218.26,596.6,1.391,7.52,166.6,28.96,36.86,0
