trial,method,weight_weather_risk_score,weight_spatial_risk_score,train_accuracy,train_precision,train_recall,train_f1,train_positive_rate,train_selected_count,train_proxy_total,train_captured_proxy_count,train_top_rate,train_threshold,valid_accuracy,valid_precision,valid_recall,valid_f1,valid_positive_rate,valid_selected_count,valid_proxy_total,valid_captured_proxy_count,valid_top_rate,valid_threshold
81,optuna,0.596122512287347,0.40387748771265286,0.5843,0.4543333333333333,0.35101725469997425,0.3960482347813453,0.3,3000,3883,1363,0.3,0.5219935557307901,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5219935557307901
202,optuna,0.5963797904090703,0.40362020959092976,0.5843,0.4543333333333333,0.35101725469997425,0.3960482347813453,0.3,3000,3883,1363,0.3,0.5220227638599018,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5220227638599018
233,optuna,0.597167538930203,0.40283246106979703,0.5843,0.4543333333333333,0.35101725469997425,0.3960482347813453,0.3,3000,3883,1363,0.3,0.5218967187877496,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5218967187877496
236,optuna,0.5967676509153218,0.40323234908467825,0.5843,0.4543333333333333,0.35101725469997425,0.3960482347813453,0.3,3000,3883,1363,0.3,0.5220067953849995,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5220067953849995
245,optuna,0.5963480856447505,0.4036519143552495,0.5843,0.4543333333333333,0.35101725469997425,0.3960482347813453,0.3,3000,3883,1363,0.3,0.5220083025757393,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5220083025757393
248,optuna,0.5955490371600417,0.40445096283995835,0.5843,0.4543333333333333,0.35101725469997425,0.3960482347813453,0.3,3000,3883,1363,0.3,0.5219222416791157,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5219222416791157
256,optuna,0.5982162908096856,0.40178370919031436,0.5843,0.4543333333333333,0.35101725469997425,0.3960482347813453,0.3,3000,3883,1363,0.3,0.5217555701404947,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5217555701404947
269,optuna,0.5978226892948613,0.4021773107051388,0.5843,0.4543333333333333,0.35101725469997425,0.3960482347813453,0.3,3000,3883,1363,0.3,0.521905497044037,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.521905497044037
278,optuna,0.5959905589253908,0.40400944107460923,0.5843,0.4543333333333333,0.35101725469997425,0.3960482347813453,0.3,3000,3883,1363,0.3,0.5220071334597127,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5220071334597127
283,optuna,0.5971407614800432,0.4028592385199568,0.5843,0.4543333333333333,0.35101725469997425,0.3960482347813453,0.3,3000,3883,1363,0.3,0.5218750603464434,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5218750603464434
40,optuna,0.5977279545797614,0.40227204542023864,0.5841,0.454,0.35075972186453774,0.39575766380938543,0.3,3000,3883,1362,0.3,0.5219380650259899,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5219380650259899
44,optuna,0.5938432814136644,0.4061567185863356,0.5841,0.454,0.35075972186453774,0.39575766380938543,0.3,3000,3883,1362,0.3,0.5221782258095098,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5221782258095098
83,optuna,0.5942774739557253,0.40572252604427456,0.5841,0.454,0.35075972186453774,0.39575766380938543,0.3,3000,3883,1362,0.3,0.5220360242671492,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5220360242671492
103,optuna,0.594841736611748,0.405158263388252,0.5841,0.454,0.35075972186453774,0.39575766380938543,0.3,3000,3883,1362,0.3,0.5217461385360348,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5217461385360348
190,optuna,0.5948642366149154,0.4051357633850846,0.5841,0.454,0.35075972186453774,0.39575766380938543,0.3,3000,3883,1362,0.3,0.5217547375748491,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5217547375748491
